1011125;REXEL - Distribuiçã de Material Eléctrico, S.A.;4;;;;www.se.com;ESTRADA FIGUEIRA FOZ BLOCO A - 164;2415-766;LEIRIA;Leiria;portugal;
1011126;REXEL - Distribuiçã de Material Eléctrico, S.A.;4;;;;www.se.com;EDIFICIO REXEL;2870-399;MONTIJO;Setubal;portugal;
1011128;BARCELTÉCNICA - Material Eléctrico, S.A.;4;;;;www.se.com;Rua Remigio Costa, 210Pavilhao 10Antas;4760-042;Vila Nova de Famailcão;Braga;portugal;
1011129;REXEL - Retalho;4;;;;www.se.com;Avenida Salgado Zenha 9 União das freguesias de Santo António dos Cavaleiros e Frielas;2660-327;Loures;Lisboa;portugal;
1011130;REXEL - SEDE;4;;;;www.se.com;EDIFICIO ADAMASTOR PARQUE DAS NAÇÕES - AV. D. JOÃO II, LOTE 1.12.02, TORRE B, PISO 14º;1990-077;LISBOA;Lisboa;portugal;
1011131;REXEL - Soluções Industriais;4;;;;www.se.com;Estrada Nacional 10 KM 131,2 – Lote 1 Bloco - Parque Tejo B Loja 6;2625-445;Forte da Casa;Lisboa;portugal;
1018730;A ELECTRIFICADORA, S.A.;4;;;;www.se.com;Avenida Francisco Sá Carneiro, nº 15-A;4520-000;Santa Maria da Feira;Porto;portugal;
1018737;Rexel, S.A.;4;;;;www.se.com;Rua do Entreposto Industrial nº3;2610-183;Alfragide;Lisboa;portugal;
1018738;Rexel, Sa;4;;;;www.se.com;Est Fig Foz, 164;2415-766;Leiria;Leiria;portugal;
1018739;REXEL- Building Management;4;;;;www.se.com;Rua Luís Pastor de Macedo Lote 13;1750-156;Lisboa;Lisboa;portugal;
1018742;BIFASE - Material Eléctrico e Electrónico, Lda.;4;;;;www.se.com;Rua Prof. António Rainho, 12;2500-852;Calda da Rainha;Leiria;portugal;
1018753;BIFASE - Material Eléctrico e Electrónico, Lda.;4;;;;www.se.com;RUA DOS BOMBEIROS VOLUNTÁRIOS, Nº 233;4590-580;PAÇOS DE FERREIRA;Porto;portugal;
1018756;SANTOS & QUELHAS, Lda.;4;;;;www.se.com;Rua Boavista - ZONA INDUSTRIAL DE AVEIRO Ap3200;3801-101;AVEIRO;Aveiro;portugal;
1018771;TANQUELUZ - Import. , Export. e Com. de Mat. Eléctricos, S.A;4;;;;www.se.com;R.da Argila 407-437;4445-416;Alfena;Porto;portugal;
1018772;TANQUELUZ - Import. , Export. e Com. de Mat. Eléctricos, S.A;4;;;;www.se.com;BREJO DO LOBO - JARDIA;2870-683;ALTO ESTANQUEIRO-JARDIA;Setubal;portugal;
1018776;TRANSFOPOR - Tranformadores, Lda.;4;;;;www.se.com;R. DA SIDERURGIA NACIONAL 67;4470;MAIA;Porto;portugal;
1018782;CAIADO Distribuidor de Material Eléctrico S.A.;4;;;;www.se.com;Avenida D. Nuno Álvares Pereira, Nº6;2490 - 484;Ourém;Santarem;portugal;
1018783;CAIADO Distribuidor de Material Eléctrico S.A.;4;;;;www.se.com;RUA CARLOS LEONEL SOUSA CAIADO - BARRUIVO;2400-449;Leiria;Leiria;portugal;
1018790;CASA DAS LAMPADAS SA;4;;;;www.se.com;AV ESTADOS UNIDOS AMERICA 10;1700-175;LISBOA;Lisboa;portugal;
1018795;DSA - Desenvolvimento de Sistemas de Automação, Lda;4;;;;www.se.com;Zona Industrial da Maia I, Setor X;4475-249;Maia;;portugal;
1018796;DSA - Desenvolvimento de Sistemas de Automação, Lda;4;;;;www.se.com;Zona Industrial da Maia 1 - Sextor X, Centro empresarial Soconorte - Armazém F;4475-249;MAIA;Porto;portugal;
1018803;ELECTRO REQUETIM;4;;;;www.se.com;Zona Industrial Estremoz, lote 42;7100-149;Estremoz;Evora;portugal;
1018816;ELECTRO SILUZ, S.A.;4;;;;www.se.com;Rua Dom Pedro V, 47;4400-117;Vila Nova Gaia;Porto;portugal;
1018818;ELECTRO SILUZ, S.A.;4;;;;www.se.com;RUA ANTERO QUENTAL, 14;3880-148;OVAR;Aveiro;portugal;
1018819;ARMASUL - Distribuidor de Material Eléctrico, S.A.;4;;;;www.se.com;AV 1º DE MAIO EDIFICIO BELSOL Nº 27-A-B-C;2845-340;AMORA;Setubal;portugal;
1018822;ELECTROREQUETIM - Distribuição de Material Eléctrico S.A;4;;;;www.se.com;EST NACIONAL 4-QTA MALAGUEIRA;7040-128;ARRAIOLOS;Evora;portugal;
1018823;ELECTROREQUETIM - Distribuição de Material Eléctrico S.A;4;;;;www.se.com;Quinta da Malagueira;7040-128;Arraiolos;Evora;portugal;
1018824;ELECTROREQUETIM - Distribuição de Material Eléctrico S.A;4;;;;www.se.com;EST NACIONAL 4-QTA MALAGUEIRA;7040-128;ARRAIOLOS;Evora;portugal;
1018825;ELECTROREQUETIM - DISTRIBUIÇÃO DE MATERIAL ELÉCTRICO S.A.;4;;;www.electrorequetim.pt;www.se.com;Quinta Da Malagueira, EN4;;ARRAIOLOS;;portugal;
1018830;ARMASUL - Distribuidor de Material Eléctrico, S.A.;4;;;;www.se.com;Centro Empresarial Sintra/EstorilArm E10/E11;2710-297;Sintra;Lisboa;portugal;
1018832;EUROVOLT- Empresa Técnica de Electricidad, S.A.;4;;;;www.se.com;AV MAJOR ROSA BASTOS N 4-A;2670-459;LOURES;Lisboa;portugal;
1018834;FEGIME Portugal, S.A.;4;;;;www.se.com;Zona Industrial de Muge, Lote 1;2125-363;Muge;Santarem;portugal;
1018837;GRUPO ROLEAR - ROLEAR MAIS;4;;;;www.se.com;AV. GORDINHO MOREIRA N20;8005-518;FARO;Faro;portugal;
1018838;GRUPO ROLEAR - ROLEAR MAIS;4;;;;www.se.com;Rua das Macieiras, N.º507;4445-583;Ermesinde;Porto;portugal;
1018839;GRUPO ROLEAR - ROLEAR MAIS;4;;;;www.se.com;Parque IndustrialQt. Olival das Minas, Rua dos Quintanilhas nº6-6A;2625-577;Vialonga;Lisboa;portugal;
