Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002109;SONEPAR OUEST PLT CHATEAUBOURG;4;+33223272555;http://www.sonepar.fr;www.abb.com;RUE DE LA GAULTIERE PLATEFORME CHATEAUBOURG;35220;CHATEAUBOURG;Ille-et-Vilaine;France;
1002110;Sonepar Region - Mediterranee;4;;http://www.sonepar.com;www.abb.com;34, bvd De L`europe;13127;Vitrolles;Bouches-du-Rhone;France;
1002111;SONEPAR RHONE-ALPES;4;;http://www.sonepar.fr;www.abb.com;112, AVENUE JEAN JAURES;69007;LYON;Rhone;France;
1002112;Sonepar Societe De Negoce Et De Participation;4;+33158441313;http://https://www.sonepar.fr/;www.abb.com;Rue du moulin de la Rousseliere.;44800;Saint-Herblain;Loire-Atlantique;France;
1002113;Sonepar Societe De Negoce Et De Participation;4;+33 474108450;http://www.sonepar.com;www.abb.com;25, rue d'Astorg;75008;Paris;Paris;France;
1002114;Sonepar Sud Est;4;+33475717760;http://www.sonepardis.fr;www.abb.com;22 Rue Claude Bernard -Zi De Romans;26100;Romans Sur Isere;Drome;France;
1002115;Sonepar Sud Est;4;+33472735760;http://www.cebeo.be;www.abb.com;120, ave Jean Jaures;69007;Lyon;Rhone;France;
1002116;Sonepar Sud Est;4;+33476332660;http://www.sonepardis.fr;www.abb.com;Rue De La Paix;38130;Echirolles;Isere;France;
1002117;Sonepar Sud Est;4;+33479348950;http://www.sonepardis.fr;www.abb.com;Rue Boucher De La Rupelle - Zi;73100;Gresy Sur Aix;Savoie;France;
1002118;Sonepar Sud Est;4;+33384860606;http://www.sonepardis.fr;www.abb.com;220 Rue Blaise Pascal;39000;Lons Le Saunier;Jura;France;
1002119;Sonepar Sud Est;4;+33472478820;http://www.sonepardis.fr;www.abb.com;29 Ter Chemin De Genas;69800;Saint-Priest;Rhone;France;
1002120;Sonepar Sud Est;4;+33478778585;http://www.sonepardis.fr;www.abb.com;15 Rue Aime Cotton -Parc Champ Dolin;69800;Saint Priest;Rhone;France;
