Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1002121;Sonepar Sud Est;4;+33472274760;http://www.sonepardis.fr;www.abb.com;14-22 Av Barthelemy Thimonnier;69300;Caluire;Rhone;France;
1002122;SONEPAR SUD EST;4;+33491604848;http://www.cle-sonepar.fr;www.abb.com;151 Avenue Des Aygalades;13905;MARSEILLE;Bouches-du-Rhone;France;
1002123;Sonepar Sud Est;4;+33474340261;http://www.sonepardis.fr;www.abb.com;64 Avenue De La Liberation -Zi De Letraz;01500;Amberieu En Bugey;Ain;France;
1002124;Sonepar Sud Est;4;+33472486060;http://www.sonepardis.fr;www.abb.com;Lieu Dit Chatanay Nord;38540;Grenay;Isere;France;
1002125;Sonepar Sud Est;4;+33474108450;http://www.sonepardis.fr;www.abb.com;Agence 35 Tarare 2 Route Nationale 7;69490;Saint Loup;Rhone;France;
1002126;Sonepar Sud Est;4;+33385462123;http://www.sonepardis.fr;www.abb.com;1 Rue De Guerlande -Zone Verte;71880;Chatenoy Le Royal;Saone-et-Loire;France;
1002127;Sonepar Sud Est;4;+33385219596;http://www.sonepardis.fr;www.abb.com;15 Rue Du 19 Mars 1962, Zac Des Platieres;71000;Sance;Saone-et-Loire;France;
1002128;Sonepar Sud Est;4;+33472735758;http://www.sonepardis.fr;www.abb.com;11 Rue De La Grande Famille;69007;Lyon;Rhone;France;
1002129;Sonepar Sud Est;4;+33386429960;http://www.sonepardis.fr;www.abb.com;14 Rue De Mayence;21000;Dijon;Cote-d'Or;France;
1002130;SONEPAR SUD EST;4;+33251804100;http://https://www.sonepar.fr/;www.abb.com;20 RUE LORTET;69007;LYON;Rhone;France;
1002131;Sonepar Sud Est;4;+33474684249;http://www.sonepardis.fr;www.abb.com;Zac Industrielle & Portuaire -245 Rue C Desmoulins;69400;Villefranche Sur Saone;Rhone;France;
1002132;Sonepar Sud Est;4;+33473985364;http://www.sonepardis.fr;www.abb.com;6 rue nicolas Joseph Cugnot -ZI du Brezet;63100;Clermont Ferrand;Puy-de-Dome;France;
1002133;Sonepar Sud Est;4;+33385521671;http://www.sonepardis.fr;www.abb.com;13 Rue Des Quatre Vents;71400;Autun;Saone-et-Loire;France;
1002134;SONEPAR SUD EST;4;+33472476850;http://www.sonepar.fr;www.abb.com;15 Rue Aime Cotton Lieu Dit Champ Dolin;69800;SAINT PRIEST;Rhone;France;
1002135;Sonepar Sud Est;4;+33472735757;http://www.sonepar.fr;www.abb.com;119 Route d`Heyrieux -Parc Eurogal;69800;Saint Priest;Rhone;France;
1002136;Sonepar Sud Est;4;+33437600020;http://www.sonepardis.fr;www.abb.com;3 - 7 Allee Des Erables;69200;Venissieux;Rhone;France;
1002137;Sonepar Sud Est;4;+33475202490;http://www.sonepardis.fr;www.abb.com;Lieu Dit Chamarras -Parc D`activite Tauleac Le Lac;07000;Privas;Ardeche;France;
1002138;Sonepar Sud Est;4;+33386429960;http://www.sonepardis.fr;www.abb.com;73 Rue Du Moulin Du President;89000;AUXERRE;Yonne;France;
1002139;Sonepar Sud Est / Cle Avignon;4;+33490883425;http://www.sonepar.com;www.abb.com;Route De Montfavet;84000;Avignon;Vaucluse;France;
1002140;Sonepar Sud Est / Cle Belley;4;+33479815050;http://www.sonepardis.fr;www.abb.com;Coron;01300;Belley;Ain;France;
1002141;Sonepar Sud Est / Cle Bourg En Bres;4;+33474223888;http://www.sonepardis.fr;www.abb.com;9 Rue Joseph Jacquard;01000;Bourg En Bresse;Ain;France;
1002142;Sonepar Sud Est / Cle Irigny;4;+33478506194;http://www.sonepar.com;www.abb.com;2 Rue d'Yvours;69540;Irigny;Rhone;France;
1002143;Sonepar Sud Est / CLE Montelimar;4;+33475537979;http://www.sonepar.com;www.abb.com;5 Route Du Teil;26200;Montelimar;Drome;France;
1002144;Sonepar Sud Est / Cle Pierrelatte;4;+33475965900;http://www.sonepar.com;www.abb.com;3 Rue Du Gardon;26700;Pierrelatte;Drome;France;
1002145;SONEPAR SUD EST / CLE ST MARTIN VIN;4;+33438021234;http://www.sonepar.com;www.abb.com;Rue Louis Gagniere;38950;St Martin Le Vinoux;Isere;France;
1002146;Sonepar Sud Est / Cle Valence;4;+33475414444;http://www.sonepar.com;www.abb.com;29 Allee Eugene Ducretet;26000;Valence;Drome;France;
1002147;Sonepar Sud Est / Cle Vaulx En Veli;4;+33478794141;http://www.sonepar.com;www.abb.com;13 Bis Rue Jean Corona;69120;Vaulx-en-Velin;Rhone;France;
1002148;Sonepar Sud Est / Lyon Elec Gerland;4;;http://www.sonepar.fr;www.abb.com;120 Avenue Jean Jaures;69007;Lyon;Rhone;France;
1002149;Sonepar Sud Est / Lyon Elec Villeurbanne;4;+33437434140;http://www.sonepardis.fr;www.abb.com;104 Cours Tolstoi;69100;Villeurbanne;Rhone;France;
1002150;Sonepar Sud Est / Sdme Beaune;4;;http://www.sonepardis.fr;www.abb.com;Rue Louis Et Gaston Chevrolet;21200;BEAUNE;Cote-d'Or;France;
1002151;Sonepar Sud Est / Sdme Dole;4;+33384795936;http://www.sonepardis.fr;www.abb.com;16 Rue De L Europe Lieudit Le Vallee;39400;Morbier;Jura;France;
1002152;Sonepar Sud Est / Sdme Montceau;4;+33385588222;http://www.sonepar.com;www.abb.com;5 Avenue De Saint Exupery;71300;Montceau Les Les Mines;Saone-et-Loire;France;
1002153;Sonepar Sud Est / Sdme Varenne Vauzelles;4;;http://www.sonepar.com;www.abb.com;Rue Jacques Duclos -Za Le Champ Male;58640;Varennes-Vauzelles;Nievre;France;
1002154;Sonepar Sud Est Mediterranee Cecci - Division Ssem;4;+33493809273;http://www.sonepar.com;www.abb.com;7 Rue Francois Pellos;06000;Nice;Alpes-Maritimes;France;
1002155;SONEPAR SUD OUEST;4;+33254422220;http://cso.sonepar.fr;www.abb.com;24, Rue des Arches.;41000;Blois;Loir-et-Cher;France;
1002156;Sonepar Sud Ouest;4;+33254422220;http://cso.sonepar.fr;www.abb.com;2 Rue Pablo Neruda;33140;Villenave D Ornon;Gironde;France;
1002157;Sonepar Sud Ouest Plateforme Sonepar Cestas;4;;http://www.esso.fr;www.abb.com;Domaine Du Pot Au Pin Ii Chemin De Cruque Pignon;33610;Cestas;Hauts-de-Seine;France;
1002158;Sonepar Sud-Est C L E Agence 0132;4;+33479598485;http://www.sonepardis.fr;www.abb.com;Pre De La Garde;73300;St Jean De Maurienne;Savoie;France;
