Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001709;Rexel - Saint Die;4;;http://www.rexel.fr;www.abb.com;2 Impasse Du Pre Blinvil;88100;Saint-Die-Des-Vosges;Vosges;France;
1001710;Rexel - Saint Jean D Angely;4;;http://www.rexel.fr;www.abb.com;42 Route De Rochefort - Centre La Garrousserie;17400;Saint-Jean-D'angely;Charente-Maritime;France;
1001711;Rexel - Saint Jean De Luz;4;;http://www.portail.rexel.fr;www.abb.com;Rue De L Industrie - Zi De Jalday;64500;Saint-Jean-De-Luz;Pyrenees-Atlantiques;France;
1001712;Rexel - Saint Lo;4;;http://www.rexel.fr;www.abb.com;597 Rue Leon Jouhaux - Zi De La Capelle;50000;Saint-Lo;Manche;France;
1001713;Rexel - Saint Ouen;4;;http://www.rexel.fr;www.abb.com;2 Avenue De L'eguillette;95310;Saint-Ouen-L'aumone;Val-d'Oise;France;
1001714;Rexel - Sainte Maxime;4;;http://www.rexel.fr;www.abb.com;23 Rue Des Inventions - Za Du Camp Ferrat;83120;Sainte-Maxime;Var;France;
1001715;Rexel - Sainte-Catherine;4;;http://www.rexel.fr;www.abb.com;ZA LE Pacage, 6 D RUE DU Four A Chaux, BP 79;62223;Sainte-Catherine;Pas-de-Calais;France;
1001716;Rexel - Saintes;4;;http://www.rexel.fr;www.abb.com;8 Rue De L Ormeau De Pied - Zone Industrielle;17100;Saintes;Charente-Maritime;France;
1001717;Rexel - Saint-Gilles-Croix-De-Vie;4;;http://www.rexel.fr;www.abb.com;Rue Des Couvreurs;85800;Saint-Gilles-Croix-De-Vie;Vendee;France;
1001718;Rexel - Sallanches;4;;http://www.rexel.fr;www.abb.com;705 Rue Charles De Gaulle;74700;Sallanches;Savoie (Haute);France;
1001719;Rexel - Salon De Provence;4;;http://www.rexel.fr;www.abb.com;Rue Remoulaire - Zi La Gandonne;13300;Salon-De-Provence;Bouches-du-Rhone;France;
1001720;Rexel - Sarlat;4;;http://www.rexel.fr;www.abb.com;Zi De Madrazes;24200;Sarlat-La-Caneda;Dordogne;France;
1001721;Rexel - Saumur;4;;http://www.rexel.fr;www.abb.com;Boulevard Des Vallerots - St Lambert Des Levees;49400;Saumur;Maine-et-Loire;France;
1001722;Rexel - Saverne;4;;http://www.rexel.fr;www.abb.com;1 A Rue Du Baron Chouard;67700;Monswiller;Bas-Rhin;France;
1001723;Rexel - Seclin;4;;http://www.rexel.fr;www.abb.com;Zi A Seclin D549 - Route De Lille - 8 Rue De La;59113;Seclin;Nord;France;
1001724;Rexel - Selestat;4;;http://www.rexel.fr;www.abb.com;Bat 1b 6 Rte De Bergheim - Centre Industriel Regional Sud;67600;Selestat;Bas-Rhin;France;
1001725;Rexel - Sens;4;;http://www.rexel.com;www.abb.com;Rue Fontaine D Azon;89100;Saint-Clement;Yonne;France;
1001726;Rexel - Sete;4;;http://www.rexel.fr;www.abb.com;Z I Etang Des Eaux Blanches;34200;Sete;Herault;France;
1001727;Rexel - Six Fours;4;;http://www.rexel.fr;www.abb.com;430 Boulevard De Lery;83140;Six-Fours-Les-Plages;Var;France;
1001728;Rexel - Soissons;4;;http://www.rexel.fr;www.abb.com;170 Rue Jean Baptiste Godin;02200;Soissons;Aisne;France;
1001729;Rexel - Sorgues;4;;http://www.rexel.fr;www.abb.com;123 Rue Thomas Edison - Zi Du Fournalet;84700;Sorgues;Vaucluse;France;
1001730;Rexel - St Andre-De-Cubzac;4;+33 160377830;http://www.rexel.fr;www.abb.com;La Garosse - 695 Avenue De L'europe;33240;Saint-Andre-De-Cubzac;Gironde;France;
