Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001731;Rexel - St Aunes;4;;http://www.rexel.fr;www.abb.com;Ecoparc Departemental - 203 Avenue Des Romarins;34130;Saint-Aunes;Herault;France;
1001732;Rexel - St Avold;4;;http://www.rexel.fr;www.abb.com;Route De Forbach - Rn3 Moulin Neuf;57730;Macheren;Moselle;France;
1001733;Rexel - St Brieuc;4;;http://www.rexel.fr;www.abb.com;67 Rue Chaptal;22000;Saint-Brieuc;Cotes-d'Armor;France;
1001734;Rexel - St Claude;4;;http://www.rexel.fr;www.abb.com;28 Rue Du Plan Du Moulin;39200;Saint-Claude;Jura;France;
1001735;Rexel - St Denis;4;;http://www.rexel.fr;www.abb.com;4 6 Rue Du Fort De La Briche;93200;Saint-Denis;Seine-Saint-Denis;France;
1001736;Rexel - St Dizier;4;;http://www.rexel.fr;www.abb.com;2 Rue Albert Schweitzer;52100;Saint-Dizier;Marne (Haute);France;
1001737;Rexel - St Etienne;4;;http://www.rexel.fr;www.abb.com;21 Rue Victor Grignard - Zi Montreynaud;42000;Saint-Etienne;Loire;France;
1001738;Rexel - St Gaudens;4;;http://www.rexel.fr;www.abb.com;Za De Borde Basse - 1 Rue Philippe Etancelin;31800;Saint-Gaudens;Garonne (Haute);France;
1001739;Rexel - St Gely-Du-Fesc;4;;http://www.rexel.fr;www.abb.com;60 Rue De La Tour - Zac Les Verries;34980;Saint-Gely-Du-Fesc;Herault;France;
1001740;Rexel - St Genis Pouilly;4;;http://www.rexel.fr;www.abb.com;343 Rue Du Mont Blanc;01630;Saint-Genis-Pouilly;Ain;France;
1001741;Rexel - St Mal;4;;http://www.rexel.fr;www.abb.com;2 Rue Saint Fiacre - Zi Sud;35400;Saint-Malo;Ille-et-Vilaine;France;
1001742;Rexel - St Marcel Sur Vernon;4;;http://www.rexel.fr;www.abb.com;1 Rue De La Garenne;27950;Saint-Marcel;Eure;France;
1001743;Rexel - St Nazaire;4;;http://www.rexel.fr;www.abb.com;4 Boulevard De Leurope;44600;Saint-Nazaire;Loire-Atlantique;France;
1001744;Rexel - St Paul Les Dax;4;;http://www.rexel.fr;www.abb.com;Avenue De La Resistance - Route De Bayonne;40990;Saint-Paul-Les-Dax;Landes;France;
1001745;Rexel - Strasbourg Nord;4;;http://www.rexel.fr;www.abb.com;22 Rue Des Tuileries - Z.A.C;67460;Souffelweyersheim;Bas-Rhin;France;
1001746;Rexel - Strasbourg Sud;4;;http://www.rexel.fr;www.abb.com;67 Rue Du Pont Du Peage;67118;Geispolsheim;Bas-Rhin;France;
1001747;Rexel - Strasbourg-La Meinau;4;+33388406200;http://www.rexel.fr;www.abb.com;18 Rue Du Doubs - Bat A;67100;Strasbourg;Bas-Rhin;France;
1001748;Rexel - Tarare;4;;http://www.rexel.fr;www.abb.com;143 Allee Du Bois Recul, Zi Du Mortier;69490;Pontcharra-Sur-Turdine;Rhone;France;
1001749;Rexel - Thiers;4;;http://www.rexel.fr;www.abb.com;Lieu Dit Chez Mignot - Chemin Du Beal;63920;Peschadoires;Puy-de-Dome;France;
1001750;Rexel - Thionville;4;;http://www.rexel.fr;www.abb.com;8 Rue Chateau Du Gassion - Zi Du Gassion;57100;Thionville;Moselle;France;
1001751;Rexel - Thouars;4;;http://www.rexel.fr;www.abb.com;Ave Emile Zola - La Croix Camus;79100;Thouars;Sevres (Deux);France;
1001752;Rexel - Toulon La Garde;4;;http://www.rexel.fr;www.abb.com;253 Av Louis Joseph - Lambot;83130;Garde;Var;France;
1001753;Rexel - Toulouse Larrieu;4;;http://www.rexel.com;www.abb.com;Avenue De Larrieu;31000;Toulouse;Garonne (Haute);France;
1001754;Rexel - Toulouse Les Minimes;4;;http://www.rexel.fr;www.abb.com;131 Chemin Du Sang Du Serp;31200;Toulouse;Garonne (Haute);France;
1001755;Rexel - Trappes;4;;http://www.rexel.fr;www.abb.com;Av Jean D'alembert - Parc D'activite Du Pissaloup;78190;Trappes;Yvelines;France;
1001756;Rexel - Troyes Chapelle St Luc Jean Jaures;4;;http://www.rexel.fr;www.abb.com;50 Ter Avenue Jean Jaures - La Chapelle St Luc;10600;Chapelle-Saint-Luc;Aube;France;
1001757;Rexel - Tulle;4;;http://www.rexel.fr;www.abb.com;Rue Du Dr Ramon - Espace Commercial De Cueille;19000;Tulle;Correze;France;
1001758;Rexel - Valence;4;;http://www.rexel.fr;www.abb.com;Za Des Aureats - 55 Avenue De Marseille;26000;Valence;Drome;France;
