Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1001959;Sc Sas - Yesss Electrique - Arbresle;4;+33437460459;http://www.yesss-fr.com;www.abb.com;1154 Rue Claude Terrasse;69210;L'arbresle;Rhone;France;
1001960;Sc Sas - Yesss Electrique - Bourg En Bresse;4;;http://www.yesss-fr.com;www.abb.com;Rond Point Des Crets;01000;Bourg-en-Bresse;Ain;France;
1001961;Sc Sas - Yesss Electrique - Bourgoin;4;+33437030651;http://www.yesss-fr.com;www.abb.com;129 Ave Des Marronniers;38300;Bourgoin Jallieu;Isere;France;
1001962;Sc Sas - Yesss Electrique - Decines;4;+33472056470;http://www.yesss-fr.com;www.abb.com;31 Rue Wilson;69150;Decines-Charpieu;Rhone;France;
1001963;Sc Sas - Yesss Electrique - Gerland;4;;http://www.yesss-fr.com;www.abb.com;14 Rue Crepet;69007;Lyon;Rhone;France;
1001964;SC SAS CEF ALBERTVILLE AG 15;4;+33479100860;http://www.yesss-fr.com;www.abb.com;11 Chemin de la Charrette;73200;Albertville;Savoie;France;
1001965;SC SAS CEF AUBERGENVILLE AG 173;4;+33130999393;http://www.cef-fr.com;www.abb.com;1 rue des vielles Granges ZAC Des Chevries;78410;Aubergenville;Yvelines;France;
1001966;SC SAS CEF AUBERVILLIERS AG 308;4;+33130999393;http://www.yesss-fr.com;www.abb.com;65 Rue Des Cites;93300;Aubervilliers;Seine-Saint-Denis;France;
1001967;Sc Sas Cef Caen Ag 96;4;;http://www.yesss-fr.com;www.abb.com;Cef Dr Normandie Rue Jean Monnet-Zi De Lazzaro;89100;St Clement;Yonne;France;
1001968;Sc Sas Cef Chalon En Champagne Ag 2;4;+33326262672;http://www.yesss-fr.com;www.abb.com;6 rue Charles Marie Ravel;51520;St Martin Sur Le Pre;Marne;France;
1001969;Sc Sas Cef Coignieres Ag 180;4;+33130051250;http://www.yesss-fr.com;www.abb.com;26-28 Avenue De La Gare;78310;Coignieres;Yvelines;France;
1001970;SC SAS CEF FRANCHEVILLE;4;+33 235051010;http://www.yesss-fr.com;www.abb.com;7 CHEMIN DU TOREY;69340;FRANCHEVILLE;Rhone;France;
1001971;SC SAS CEF GERLAND AG N° 76 CEF DR LYON CENTRE;4;+33472720469;http://www.yesss-fr.com;www.abb.com;147 RUE MARCEL MERIEUX PARC MERIEUX FARGE;69007;LYON;Rhone;France;
